,Title,Publication Date,Author,Genre,Average Rating,Number of Ratings,Pages,Rank,Language,Currently Reading,Want to Read
314,"Goodbye, Again: Essays, Reflections, and Illustrations","First published April 20, 2021",Jonny Sun,Nonfiction,4.10,"5,545 ratings","224 pages, Hardcover",17,,599 people are currently reading,17.6k people want to read
315,Gilded,"First published November 2, 2021",Marissa Meyer,Fantasy,3.88,"48,873 ratings","502 pages, Hardcover",18,,"3,583 people are currently reading",116k people want to read
316,At the Edge of the Haight,"First published January 19, 2021",Katherine Seligman,Fiction,3.39,"2,673 ratings","304 pages, Hardcover",19,,292 people are currently reading,"5,962 people want to read"
317,Instinct,"First published April 6, 2021",Jason M. Hough,Mystery,3.36,592 ratings,"336 pages, Hardcover",20,,46 people are currently reading,"5,859 people want to read"
318,Accidentally Engaged,"First published March 2, 2021",Farah Heron,Romance,3.70,"13,382 ratings","357 pages, Paperback",21,,508 people are currently reading,32.9k people want to read
319,Panic Attack: Playing Politics with Science in the Fight Against COVID-19,"First published May 25, 2021",Nicole Saphier,Nonfiction,4.02,124 ratings,"317 pages, Kindle Edition",22,,91 people are currently reading,229 people want to read
320,The President's Daughter,"First published June 7, 2021",Bill Clinton,Fiction,4.27,"47,676 ratings","609 pages, Kindle Edition",23,,"6,697 people are currently reading",29.2k people want to read
321,Not a Happy Family,"First published July 27, 2021",Shari Lapena,,3.79,"189,419 ratings","349 pages, Hardcover",24,,"5,365 people are currently reading",155k people want to read
322,Everything Is Fine,"First published April 27, 2021",Vince Granata,Memoir,4.21,"3,880 ratings","304 pages, Hardcover",25,,224 people are currently reading,13.2k people want to read
323,Where the Line Breaks,"First published April 1, 2021",Michael Burrows,Fiction,4.32,34 ratings,"224 pages, Paperback",26,,1 person is currently reading,151 people want to read
324,Count the Ways,"First published July 13, 2021",Joyce Maynard,Fiction,4.22,"17,449 ratings","464 pages, Hardcover",27,,"2,398 people are currently reading",22.6k people want to read
325,The Apocalypse Seven,"First published May 25, 2021",Gene Doucette,Science Fiction,3.83,"2,190 ratings","432 pages, Paperback",28,,190 people are currently reading,"3,240 people want to read"
326,House of Hollow,"First published April 6, 2021",Krystal Sutherland,,4.02,"88,669 ratings","292 pages, Hardcover",29,,"2,559 people are currently reading",186k people want to read
327,In Love & Pajamas: A Collection of Comics about Being Yourself Together,"First published February 2, 2021",Catana Chetwynd,,4.28,"6,537 ratings","128 pages, Hardcover",30,,125 people are currently reading,10.2k people want to read
328,Highland Games,"First published October 15, 2021",Evie Alexander,Romance,3.97,"1,737 ratings","310 pages, Kindle Edition",31,,223 people are currently reading,"2,005 people want to read"
329,Heartbreak Bay,"First published March 9, 2021",Rachel Caine,Thriller,4.29,"18,952 ratings","335 pages, Kindle Edition",32,,"3,178 people are currently reading",11.4k people want to read
330,How the Word Is Passed: A Reckoning with the History of Slavery Across America,"First published June 1, 2021",Clint Smith,,4.71,"35,706 ratings","336 pages, Hardcover",33,,"4,015 people are currently reading",85k people want to read
331,The Night Hawks,"First published February 4, 2021",Elly Griffiths,Mystery,4.27,"21,173 ratings","322 pages, ebook",34,,"1,056 people are currently reading","5,358 people want to read"
332,The Long Slide: Thirty Years in American Journalism,"First published August 1, 2021",Tucker Carlson,Politics,4.15,"1,797 ratings","277 pages, Kindle Edition",35,,435 people are currently reading,"1,058 people want to read"
333,No Heaven for Good Boys,"First published January 26, 2021",Keisha Bush,Fiction,4.27,"1,168 ratings","336 pages, Kindle Edition",36,,79 people are currently reading,"6,801 people want to read"
334,Terciel and Elinor,"First published November 2, 2021",Garth Nix,Fantasy,4.19,"7,181 ratings","338 pages, Hardcover",37,,366 people are currently reading,11.4k people want to read
335,Big Little Spies,"First published April 13, 2021",Krista Davis,Mystery,4.21,"1,501 ratings","304 pages, Mass Market Paperback",38,,96 people are currently reading,762 people want to read
336,A Dark and Hollow Star,"First published February 23, 2021",Ashley Shuttleworth,Fantasy,3.79,"7,659 ratings","512 pages, Hardcover",39,,780 people are currently reading,51.4k people want to read
337,Still Life,"First published June 1, 2021",Sarah Winman,Historical Fiction,4.16,"77,384 ratings",Audible Audio,40,,"9,509 people are currently reading",123k people want to read
338,"The Disordered Cosmos: A Journey into Dark Matter, Spacetime, and Dreams Deferred","First published March 9, 2021",Chanda Prescod-Weinstein,,4.11,"3,854 ratings","320 pages, Hardcover",41,,958 people are currently reading,31.2k people want to read
339,The Love Songs of W.E.B. Du Bois,"First published August 24, 2021",Honorée Fanonne Jeffers,,4.51,"37,216 ratings","816 pages, Hardcover",42,,"8,748 people are currently reading",126k people want to read
340,The Electric Kingdom,"First published February 9, 2021",David Arnold,Young Adult,3.87,"4,358 ratings","432 pages, Hardcover",43,,278 people are currently reading,19.3k people want to read
341,The Second Blind Son,"First published July 20, 2021",Amy Harmon,Fantasy,4.36,"5,778 ratings","447 pages, Kindle Edition",44,,984 people are currently reading,"8,415 people want to read"
342,The Sanatorium,"First published January 1, 2020",Sarah Pearse,Mystery,3.36,"184,788 ratings","390 pages, Hardcover",45,,12.9k people are currently reading,148k people want to read
343,The Initial Insult,"First published February 23, 2021",Mindy McGinnis,Young Adult,3.67,"6,457 ratings","372 pages, Hardcover",46,,219 people are currently reading,17.3k people want to read
344,The Family,"First published November 2, 2021",Naomi Krupitsky,Historical Fiction,3.56,"27,336 ratings","368 pages, Hardcover",47,,"1,786 people are currently reading",31k people want to read
345,The Wish,"First published September 28, 2021",Nicholas Sparks,,4.33,"156,564 ratings","387 pages, Hardcover",48,,12k people are currently reading,184k people want to read
346,Angel of the Overpass,"First published May 11, 2021",Seanan McGuire,Fantasy,4.13,"1,662 ratings","301 pages, Paperback",49,,169 people are currently reading,"1,183 people want to read"
347,Hooked,"First published September 5, 2021",Emily McIntire,Fantasy,3.78,"396,206 ratings","312 pages, ebook",50,,38.7k people are currently reading,384k people want to read
348,"The Lost Boys of Montauk: The True Story of the Wind Blown, Four Men Who Vanished at Sea, and the Survivors They Left Behind","First published May 25, 2021",Amanda M. Fairbanks,Nonfiction,3.40,"3,032 ratings","313 pages, Hardcover",51,,712 people are currently reading,10.7k people want to read
349,Much Ado About You,"First published February 2, 2021",Samantha Young,Romance,3.67,"19,877 ratings","380 pages, Kindle Edition",52,,675 people are currently reading,29.1k people want to read
350,"Classified: The Secret Career of Mary Golda Ross, Cherokee Aerospace Engineer","First published March 2, 2021",Traci Sorell,Picture Books,4.12,725 ratings,"32 pages, Hardcover",53,,8 people are currently reading,638 people want to read
351,Birdsong in a Time of Silence,"First published January 1, 2021",Steven Lovatt,Nonfiction,3.82,339 ratings,"149 pages, Hardcover",54,,33 people are currently reading,639 people want to read
352,A Carnival of Snackery: Diaries 2003-2020,"First published October 5, 2021",David Sedaris,,4.21,"17,347 ratings","576 pages, Hardcover",55,,"2,669 people are currently reading",25.4k people want to read
353,The Kingdoms,"First published May 25, 2021",Natasha Pulley,Fantasy,4.03,"9,909 ratings","448 pages, Kindle Edition",56,,540 people are currently reading,30.8k people want to read
354,A Marvellous Light,"First published October 26, 2021",Freya Marske,Fantasy,3.95,"43,362 ratings","377 pages, Kindle Edition",57,,"3,332 people are currently reading",114k people want to read
355,Boyfriend,"First published October 12, 2021",Sarina Bowen,Romance,4.00,"6,720 ratings","247 pages, Paperback",58,,655 people are currently reading,"8,927 people want to read"
356,Guild Boss,"First published November 4, 2021",Jayne Castle,Romance,4.34,"4,783 ratings","304 pages, Kindle Edition",59,,263 people are currently reading,"1,233 people want to read"
357,The Portrait of a Mirror,"First published June 1, 2021",A. Natasha Joukovsky,Fiction,3.61,"2,976 ratings","320 pages, Hardcover",60,,237 people are currently reading,34.2k people want to read
358,Love for Beginners,"First published June 8, 2021",Jill Shalvis,Romance,4.07,"6,613 ratings","362 pages, Paperback",61,,551 people are currently reading,"9,146 people want to read"
359,No Words,"First published October 12, 2021",Meg Cabot,Romance,3.43,"10,984 ratings","384 pages, ebook",62,,287 people are currently reading,"7,467 people want to read"
360,Delicates,"First published March 23, 2021",Brenna Thummler,Graphic Novels,4.18,"11,190 ratings","320 pages, Hardcover",63,,274 people are currently reading,14k people want to read
361,What Big Teeth,"First published February 2, 2021",Rose Szabo,Horror,3.37,"6,734 ratings","394 pages, Hardcover",64,,356 people are currently reading,27.2k people want to read
362,Five Tuesdays in Winter,"First published November 2, 2021",Lily King,Short Stories,3.72,"20,817 ratings","240 pages, Hardcover",65,,"1,417 people are currently reading",34k people want to read
363,Faithless in Death,"First published February 9, 2021",J.D. Robb,Mystery,4.49,"24,422 ratings","400 pages, Hardcover",66,,"4,375 people are currently reading","8,128 people want to read"
364,The Glitter in the Green: In Search of Hummingbirds,"First published April 20, 2021",Jon Dunn,Nonfiction,3.90,526 ratings,"352 pages, Hardcover",67,,80 people are currently reading,"1,592 people want to read"
365,Wicked All Night,"First published February 23, 2021",Jeaniene Frost,Romance,4.17,"6,550 ratings","368 pages, Mass Market Paperback",68,,457 people are currently reading,"8,520 people want to read"
366,Land of Big Numbers,"First published February 2, 2021",Te-Ping Chen,Short Stories,3.94,"8,764 ratings","256 pages, Kindle Edition",69,,776 people are currently reading,20.4k people want to read
367,Hang the Moon,"First published May 25, 2021",Alexandria Bellefleur,Romance,3.79,"18,496 ratings","384 pages, Paperback",70,,619 people are currently reading,38.5k people want to read
368,Wolf Roulette,"First published January 14, 2021",Kelly St. Clare,Paranormal,4.27,"7,347 ratings","414 pages, Kindle Edition",72,,"1,514 people are currently reading","1,573 people want to read"
369,The Mask of Mirrors,"First published January 19, 2021",M.A. Carrick,Fantasy,4.03,"10,955 ratings","630 pages, Paperback",74,,"1,760 people are currently reading",74.9k people want to read
370,Ark of the Apocalypse,"First published March 10, 2021",Tobin Marks,Science Fiction,4.63,192 ratings,"428 pages, ebook",75,,17 people are currently reading,77 people want to read
371,The Ice Swan,"First published July 6, 2021",J'nell Ciesielski,Historical Fiction,3.92,"1,801 ratings","400 pages, Paperback",76,,118 people are currently reading,"7,389 people want to read"
372,Risen,"First published December 7, 2021",Benedict Jacka,Fantasy,4.52,"5,204 ratings","336 pages, Kindle Edition",77,,185 people are currently reading,"1,589 people want to read"
373,Reaper,"First published November 2, 2021",Will Wight,Fantasy,4.68,"24,785 ratings","465 pages, Kindle Edition",78,,"1,382 people are currently reading","4,068 people want to read"
374,With You Forever,"First published September 14, 2021",Chloe Liese,Romance,4.10,"26,112 ratings","350 pages, Kindle Edition",79,,386 people are currently reading,37.6k people want to read
375,Fae Away,"First published April 27, 2021",Rose Garcia,Fantasy,4.07,354 ratings,"310 pages, Kindle Edition",80,,269 people are currently reading,"1,730 people want to read"
376,Trans: When Ideology Meets Reality,"First published September 7, 2021",Helen Joyce,Nonfiction,4.27,"2,943 ratings","320 pages, Hardcover",81,,616 people are currently reading,"4,707 people want to read"
377,Just Folking Around,"First published June 23, 2021",Penny Reid,Romance,4.06,"4,921 ratings","68 pages, Kindle Edition",82,,454 people are currently reading,"2,699 people want to read"
378,Fool Me Twice at Christmas,"First published September 28, 2021",Camilla Isley,Christmas,3.50,"3,487 ratings","200 pages, Paperback",83,,381 people are currently reading,10.4k people want to read
379,Used,"First published March 8, 2021",Kate Dunbar,Romance,3.96,299 ratings,ebook,84,,54 people are currently reading,"1,495 people want to read"
380,Terminal Boredom: Stories,"First published April 20, 2021",Izumi Suzuki,Short Stories,3.58,"5,408 ratings","240 pages, Kindle Edition",85,,697 people are currently reading,18.3k people want to read
381,Magical Midlife Meeting,"First published April 27, 2021",K.F. Breene,Fantasy,4.61,"16,063 ratings","362 pages, Kindle Edition",86,,"4,430 people are currently reading","2,923 people want to read"
382,Beyond Order: 12 More Rules For Life,"First published March 2, 2021",Jordan B. Peterson,Psychology,4.16,"27,052 ratings","382 pages, Hardcover",87,,"8,080 people are currently reading",56.4k people want to read
383,The Light Through the Leaves,"First published April 1, 2021",Glendy Vanderah,Fiction,4.39,"39,614 ratings","455 pages, Kindle Edition",88,,"9,127 people are currently reading",32.7k people want to read
384,When Heroes Fall,"First published May 28, 2021",Giana Darling,Romance,4.01,"18,607 ratings","508 pages, ebook",89,,"1,840 people are currently reading",32.6k people want to read
385,The Breath Between Waves,"First published August 9, 2021",Charlotte Anne Hamilton,Lesbian,3.72,247 ratings,"270 pages, Paperback",90,,19 people are currently reading,"2,228 people want to read"
386,Bad Blood,"First published May 12, 2021",Cora Kenborn,Romance,4.12,"2,652 ratings","252 pages, Kindle Edition",91,,566 people are currently reading,"4,548 people want to read"
387,Tarnished Vow,"First published April 16, 2021",R. Holmes,Romance,3.92,952 ratings,"365 pages, Kindle Edition",92,,200 people are currently reading,"2,363 people want to read"
388,Of Trust & Heart,"First published October 14, 2021",Charlotte Anne Hamilton,Romance,3.59,103 ratings,"255 pages, ebook",93,,15 people are currently reading,"1,606 people want to read"
389,Remember: The Science of Memory and the Art of Forgetting,"First published March 23, 2021",Lisa Genova,,4.18,"14,033 ratings","256 pages, Hardcover",94,,"2,310 people are currently reading",57.1k people want to read
390,A Fate of Wrath & Flame,"First published May 20, 2021",K.A. Tucker,Fantasy,4.10,"31,163 ratings","547 pages, Kindle Edition",95,,"2,920 people are currently reading",156k people want to read
391,All's Well,"First published August 3, 2021",Mona Awad,,3.74,"29,123 ratings","384 pages, Paperback",96,,"1,697 people are currently reading",117k people want to read
392,Soulstar,"First published February 16, 2021",C.L. Polk,Fantasy,3.93,"2,523 ratings","304 pages, Paperback",97,,142 people are currently reading,"2,584 people want to read"
393,The Coming Bad Days,"First published April 22, 2021",Sarah Bernstein,Fiction,3.46,387 ratings,"265 pages, Paperback",98,,24 people are currently reading,"1,440 people want to read"
394,Into Temptation,"First published April 28, 2021",Monica James,Dark,4.26,688 ratings,"400 pages, Kindle Edition",99,,44 people are currently reading,"1,193 people want to read"
395,The Heart's Charge,"First published June 1, 2021",Karen Witemeyer,Historical Fiction,4.50,"2,070 ratings","379 pages, Paperback",100,,86 people are currently reading,"2,479 people want to read"
396,"T: The Story of Testosterone, the Hormone that Dominates and Divides Us","First published July 1, 2021",Carole Hooven,Science,4.03,"1,524 ratings","352 pages, Hardcover",1,,280 people are currently reading,"5,364 people want to read"
397,We Could Be Heroes,"First published January 26, 2021",Mike Chen,Science Fiction,3.43,"5,706 ratings","330 pages, Hardcover",2,,353 people are currently reading,20.9k people want to read
398,The Mask Falling,"First published January 26, 2021",Samantha Shannon,Fantasy,4.45,"12,814 ratings","528 pages, Hardcover",3,,820 people are currently reading,36.3k people want to read
399,By Sin I Rise: Part One,"First published September 15, 2021",Cora Reilly,Romance,3.64,"17,576 ratings","274 pages, Kindle Edition",4,,"1,679 people are currently reading",15.6k people want to read
400,Archangel's Light,"First published October 26, 2021",Nalini Singh,Romance,4.28,"9,078 ratings","396 pages, ebook",5,,386 people are currently reading,"5,029 people want to read"
401,Chasing Shadows,"First published June 1, 2021",Lynn Austin,Historical Fiction,4.54,"5,368 ratings","420 pages, Paperback",6,,424 people are currently reading,"6,320 people want to read"
402,Thy Kingdom Come,"First published February 24, 2021",Monica James,Dark,4.03,"1,169 ratings","410 pages, Kindle Edition",7,,167 people are currently reading,"4,384 people want to read"
403,The Fine Print,"First published July 8, 2021",Lauren Asher,Contemporary,3.83,"572,809 ratings","436 pages, Paperback",8,,34.3k people are currently reading,498k people want to read
404,Daughter of the Deep,"First published October 26, 2021",Rick Riordan,,4.21,"28,657 ratings","336 pages, Hardcover",9,,"2,037 people are currently reading",50.4k people want to read
405,Oliver: The True Story of a Stolen Dog and the Humans He Brought Together,"First published January 26, 2021",Steven J. Carino,Nonfiction,4.02,673 ratings,"240 pages, Paperback",10,,92 people are currently reading,"2,491 people want to read"
406,Reborn,"First published March 31, 2021",Jaymin Eve,Fantasy,4.30,"24,156 ratings","440 pages, Kindle Edition",11,,"7,563 people are currently reading","6,329 people want to read"
407,Black Sunshine,"First published March 25, 2021",Karina Halle,Fantasy,3.72,"14,108 ratings","448 pages, Paperback",12,,"2,489 people are currently reading",27.4k people want to read
408,Dewey Belong Together,"First published February 16, 2021",Ann Whynot,Romance,3.85,"1,348 ratings","286 pages, Kindle Edition",13,,234 people are currently reading,928 people want to read
409,The Wisdom of Crowds,"First published September 14, 2021",Joe Abercrombie,Fantasy,4.60,"31,708 ratings","528 pages, Hardcover",14,,"1,336 people are currently reading",21.5k people want to read
410,Girls with Rebel Souls,"First published March 23, 2021",Suzanne Young,Young Adult,3.72,"1,901 ratings",320 pages,15,,69 people are currently reading,"2,624 people want to read"
411,Rosaline Palmer Takes the Cake,"First published May 18, 2021",Alexis Hall,Romance,3.88,"13,652 ratings","449 pages, Kindle Edition",16,,613 people are currently reading,25.6k people want to read
412,Travis,"First published July 17, 2021",Mia Sheridan,Romance,3.87,"34,732 ratings","320 pages, Paperback",17,,"2,780 people are currently reading",39.2k people want to read
413,Totally Folked,"First published July 20, 2021",Penny Reid,Romance,4.07,"9,365 ratings","444 pages, Kindle Edition",18,,"1,251 people are currently reading",18.2k people want to read
414,The Wolves of Eternity,"First published October 29, 2021",Karl Ove Knausgård,Fiction,4.03,"4,432 ratings","800 pages, Hardcover",19,,668 people are currently reading,"8,401 people want to read"
415,Twisted Cravings,"First published March 16, 2021",Cora Reilly,Romance,3.43,"17,268 ratings","303 pages, Kindle Edition",20,,"1,443 people are currently reading",18.8k people want to read
416,Bombshells,"First published April 13, 2021",Sarina Bowen,Romance,4.17,"4,491 ratings","305 pages, Paperback",21,,326 people are currently reading,"5,694 people want to read"
417,The View Was Exhausting,"First published July 6, 2021",Mikaella Clements,Fiction,3.65,"7,845 ratings","336 pages, Hardcover",22,,261 people are currently reading,24.5k people want to read
418,The Devil Wears Black,"First published March 9, 2021",L.J. Shen,Romance,4.11,"57,952 ratings","369 pages, Kindle Edition",23,,"7,246 people are currently reading",47.7k people want to read
419,The Lucky List,"First published June 1, 2021",Rachael Lippincott,Romance,4.06,"15,129 ratings","304 pages, Hardcover",24,,654 people are currently reading,32.4k people want to read
420,No Hiding in Boise,"First published June 15, 2021",Kim Hooper,Fiction,4.00,"2,355 ratings","336 pages, Paperback",25,,39 people are currently reading,"6,687 people want to read"
421,A Lady in Attendance,"First published June 1, 2021",Rachel Fordham,Historical Fiction,4.21,"1,079 ratings","352 pages, Paperback",26,,69 people are currently reading,"3,454 people want to read"
422,Mad About Ewe,"First published March 18, 2021",Susannah Nix,Romance,3.73,"2,321 ratings","325 pages, Kindle Edition",27,,351 people are currently reading,"2,029 people want to read"
423,The Witness for the Dead,"First published June 22, 2021",Katherine Addison,Fantasy,4.11,"10,361 ratings","240 pages, Kindle Edition",28,,642 people are currently reading,23.7k people want to read
424,Irresistible Revolution: Marxism's Goal of Conquest & the Unmaking of the American Military,"First published May 10, 2021",Matthew Lohmeier,Politics,4.57,515 ratings,"211 pages, Kindle Edition",29,,557 people are currently reading,736 people want to read
425,Paladin's Hope,"First published October 9, 2021",T. Kingfisher,Fantasy,4.22,"12,608 ratings","300 pages, ebook",30,,480 people are currently reading,"9,515 people want to read"
426,Million Dollar Demon,"First published June 15, 2021",Kim Harrison,Urban Fantasy,4.51,"8,371 ratings","464 pages, Hardcover",31,,751 people are currently reading,"7,588 people want to read"
427,Milk Fed,"First published February 2, 2021",Melissa Broder,Fiction,3.57,"67,383 ratings","304 pages, Hardcover",32,,"2,960 people are currently reading",134k people want to read
428,Freedom,"First published May 18, 2021",Sebastian Junger,Nonfiction,3.76,"4,660 ratings","160 pages, Hardcover",33,,472 people are currently reading,"7,844 people want to read"
429,The Queen of the Cicadas,"First published June 22, 2021",V. Castro,Horror,3.73,"1,577 ratings","224 pages, Hardcover",34,,88 people are currently reading,"4,566 people want to read"
430,Your Guide to Not Getting Murdered in a Quaint English Village,"First published September 14, 2021",Maureen Johnson,Humor,4.01,"6,919 ratings","128 pages, Hardcover",35,,347 people are currently reading,14.5k people want to read
431,The Garden of Angels,"First published April 6, 2021",David Hewson,Historical Fiction,4.21,751 ratings,"14 pages, Audiobook",36,,59 people are currently reading,870 people want to read
432,The Secret Stealers,"First published April 1, 2021",Jane Healey,Historical Fiction,4.35,"18,218 ratings","443 pages, Kindle Edition",37,,"5,804 people are currently reading",13.9k people want to read
433,Somebody's Daughter,"First published June 1, 2021",Ashley C. Ford,,4.03,"68,888 ratings","224 pages, Hardcover",38,,"4,166 people are currently reading",131k people want to read
434,Other People's Houses,"First published March 3, 2021",Kelli Hawkins,Thriller,3.43,"2,742 ratings","336 pages, Paperback",39,,102 people are currently reading,"2,328 people want to read"
435,The Children's Blizzard,"First published January 12, 2021",Melanie Benjamin,Historical Fiction,3.95,"22,351 ratings","355 pages, Hardcover",40,,"2,168 people are currently reading",41.6k people want to read
436,False Witness,"First published July 20, 2021",Karin Slaughter,Thriller,4.09,"107,955 ratings","512 pages, Kindle Edition",41,,"8,017 people are currently reading",111k people want to read
437,Wotakoi: Love Is Hard for Otaku Vol. 5,"First published September 28, 2021",Fujita,Manga,4.62,"4,365 ratings","278 pages, Kindle Edition",42,,118 people are currently reading,"1,474 people want to read"
438,Alone,"First published January 12, 2021",Megan E. Freeman,,4.14,"14,928 ratings","404 pages, Hardcover",43,,704 people are currently reading,20.4k people want to read
439,Lords of Pain,"First published February 12, 2021",Angel Lawson,Reverse Harem,4.02,"40,044 ratings","356 pages, Kindle Edition",44,,"1,744 people are currently reading",16k people want to read
440,Give Love a Chai,"First published March 18, 2021",Nanxi Wen,Romance,3.47,"1,127 ratings",Kindle Edition,45,,189 people are currently reading,"4,474 people want to read"
441,Soundtracks: The Surprising Solution to Overthinking,"First published April 6, 2021",Jon Acuff,Nonfiction,4.30,"8,697 ratings","240 pages, Hardcover",46,,"1,180 people are currently reading",11.1k people want to read
442,Kink: Stories,"First published February 9, 2021",R.O. Kwon,Short Stories,3.11,"5,201 ratings","288 pages, Paperback",47,,"1,016 people are currently reading",15.8k people want to read
443,Once Upon a Broken Heart,"First published September 28, 2021",Stephanie Garber,,4.06,"437,988 ratings","408 pages, Hardcover",48,,22.7k people are currently reading,777k people want to read
444,Learning to Pray: A Guide for Everyone,"First published February 2, 2021",James Martin,Religion,4.29,"1,589 ratings","386 pages, Hardcover",49,,"1,139 people are currently reading","2,183 people want to read"
445,Wilde Child,"First published March 30, 2021",Eloisa James,Historical Romance,4.03,"4,931 ratings","304 pages, Hardcover",50,,573 people are currently reading,"2,945 people want to read"
446,"The Deep Rig: How Election Fraud Cost Donald J. Trump the White House, By a Man Who did not Vote for Him","First published February 17, 2021",Patrick M. Byrne,Politics,4.50,424 ratings,"236 pages, Kindle Edition",51,,857 people are currently reading,267 people want to read
447,Indigo Ridge,"First published October 26, 2021",Devney Perry,Romance,4.16,"99,868 ratings","340 pages, Kindle Edition",52,,"6,164 people are currently reading",123k people want to read
448,Daughter of the Morning Star,"First published September 21, 2021",Craig Johnson,Mystery,4.40,"10,803 ratings","336 pages, Kindle Edition",53,,807 people are currently reading,"3,318 people want to read"
449,All the Little Hopes,"First published July 27, 2021",Leah Weiss,Historical Fiction,4.14,"5,383 ratings","368 pages, Kindle Edition",54,,880 people are currently reading,"9,030 people want to read"
450,Finding the Mother Tree: Discovering the Wisdom of the Forest,"First published May 4, 2021",Suzanne Simard,Nonfiction,4.22,"14,537 ratings","348 pages, Hardcover",55,,"3,947 people are currently reading",45k people want to read
451,Extraterrestrial: The First Sign of Intelligent Life Beyond Earth,"First published March 15, 2021",Avi Loeb,Science,3.79,"5,063 ratings","240 pages, Hardcover",56,,"1,233 people are currently reading","8,164 people want to read"
452,The Bombay Prince,"First published June 1, 2021",Sujata Massey,Mystery,3.96,"8,586 ratings","360 pages, Hardcover",57,,526 people are currently reading,10.5k people want to read
453,The Babysitter: My Summers with a Serial Killer,"First published March 2, 2021",Liza Rodman,True Crime,3.66,"10,082 ratings","352 pages, Hardcover",58,,648 people are currently reading,29.7k people want to read
454,You Love Me,"First published April 6, 2021",Caroline Kepnes,Thriller,3.67,"34,178 ratings","385 pages, Hardcover",59,,"1,831 people are currently reading",48.8k people want to read
455,Professional Troublemaker: The Fear-Fighter Manual,"First published March 2, 2021",Luvvie Ajayi Jones,Nonfiction,4.10,"5,776 ratings","304 pages, Hardcover",60,,"1,208 people are currently reading",18.3k people want to read
456,The Second Mrs. Astor,"First published March 19, 2021",Shana Abe,Historical Fiction,3.97,"63,823 ratings","323 pages, Paperback",61,,19.5k people are currently reading,52.3k people want to read
457,"Die Entschlüsselung der Hieroglyphen. Zwei rivalisierende Genies, das Alte Ägypten und der Stein von Rosette","First published October 19, 2021",Edward Dolnick,History,4.19,"1,941 ratings","397 pages, Hardcover",62,,234 people are currently reading,"3,393 people want to read"
458,Marriage and Murder,"First published March 2, 2021",Penny Reid,Romance,4.35,"6,121 ratings","374 pages, ebook",63,,463 people are currently reading,"8,766 people want to read"
459,Pushing Up Posies,"First published January 7, 2021",Eve Langlais,Paranormal,3.95,764 ratings,"204 pages, Kindle Edition",64,,191 people are currently reading,512 people want to read
460,Hero of Two Worlds: The Marquis de Lafayette in the Age of Revolution,"First published August 24, 2021",Mike Duncan,History,4.51,"6,112 ratings","512 pages, Hardcover",65,,985 people are currently reading,10.5k people want to read
461,This Has Been Absolutely Lovely,"First published January 6, 2021",Jessica Dettmann,Fiction,3.82,"1,928 ratings","384 pages, Paperback",66,,99 people are currently reading,"2,088 people want to read"
462,Hypnosis Is for Hacks,"First published October 26, 2021",Tamara Berry,Mystery,4.19,226 ratings,"288 pages, Hardcover",67,,13 people are currently reading,301 people want to read
463,In the Garden of Spite,"First published January 19, 2021",Camilla Bruce,Historical Fiction,3.89,"6,878 ratings","480 pages, Kindle Edition",68,,400 people are currently reading,20.6k people want to read
464,House of Sticks,"First published June 1, 2021",Ly Tran,,4.37,"4,707 ratings","368 pages, Hardcover",69,,315 people are currently reading,32.2k people want to read
465,The Ruthless Lady's Guide to Wizardry,"First published January 12, 2021",C.M. Waggoner,Fantasy,3.74,"7,061 ratings","371 pages, Paperback",70,,708 people are currently reading,31k people want to read
466,Subdivision,"First published April 6, 2021",J. Robert Lennon,Fiction,3.77,934 ratings,"234 pages, Paperback",71,,42 people are currently reading,"1,839 people want to read"
467,Treacle Walker,"First published October 28, 2021",Alan Garner,Fiction,3.13,"8,577 ratings","152 pages, Hardcover",72,,336 people are currently reading,11.6k people want to read
468,Blood and Treasure: Daniel Boone and the Fight for America's First Frontier,"First published April 20, 2021",Bob Drury,History,4.06,"3,304 ratings","384 pages, Kindle Edition",73,,769 people are currently reading,"7,205 people want to read"
469,All the Colors of Night,"First published January 5, 2021",Jayne Ann Krentz,Romance,4.14,"6,606 ratings","336 pages, Kindle Edition",74,,"1,020 people are currently reading","2,174 people want to read"
470,Stranger Care,"First published May 4, 2021",Sarah Sentilles,Memoir,4.26,"2,454 ratings","400 pages, Kindle Edition",75,,132 people are currently reading,10.1k people want to read
471,Come with Me,"First published January 1, 1981",Ronald Malfi,Horror,3.93,"14,516 ratings","407 pages, Kindle Edition",76,,866 people are currently reading,34.4k people want to read
472,Tutoring the Delinquent,"First published November 30, 2021",Jessa Kane,Romance,3.64,"5,677 ratings","112 pages, Kindle Edition",77,,500 people are currently reading,"2,288 people want to read"
473,Claimed,"First published July 27, 2021",J.R. Ward,Romance,3.92,"11,061 ratings","509 pages, Mass Market Paperback",78,,"2,062 people are currently reading",15.8k people want to read
474,Briarheart,"First published October 5, 2021",Mercedes Lackey,Fantasy,3.95,"2,158 ratings","368 pages, Hardcover",79,,231 people are currently reading,"5,728 people want to read"
475,A Line to Kill,"First published August 19, 2021",Anthony Horowitz,Mystery,3.93,"38,225 ratings","375 pages, Hardcover",80,,"1,602 people are currently reading",19.2k people want to read
476,Love and Fury,"First published May 25, 2021",Samantha Silva,Historical Fiction,4.17,"1,792 ratings","288 pages, Hardcover",81,,150 people are currently reading,"7,118 people want to read"
