,Title,Publication Date,Author,Genre,Average Rating,Number of Ratings,Pages,Rank,Language,Currently Reading,Want to Read
329,Избрани писма и стихове,"Published January 1, 1985",Ernest Hemingway,,4.00,4 ratings,"180 pages, Paperback",21,,,
330,Un chat sous la pluie et autres nouvelles / La cinquième colonne,"Published November 1, 2017",Ernest Hemingway,,4.00,4 ratings,"463 pages, Kindle Edition",22,French,,
331,A propósito de la escritura,"Published January 24, 2024",Ernest Hemingway,,3.75,4 ratings,"144 pages, Paperback",23,Spanish; Castilian,,
332,Ramón Masats: Sanfermines,"First published January 1, 2009",Ernest Hemingway,,5.00,3 ratings,"260 pages, Hardcover",25,English,,
333,Ernest Hemingway: Complete Works,"Published October 10, 2021",Ernest Hemingway,,5.00,3 ratings,Kindle Edition,26,,,
334,"Прощай, оружие! По ком звонит колокол","Published January 1, 2005",Ernest Hemingway,,3.75,4 ratings,"847 pages, Hardcover",27,Russian,,
335,The Letters of Ernest Hemingway: Set Volumes 1-3,"Published May 1, 2015",Ernest Hemingway,,5.00,3 ratings,"1870 pages, Hardcover",28,English,,
336,Al romper el alba,"Published April 15, 2020",Ernest Hemingway,,2.80,5 ratings,"362 pages, Kindle Edition",29,,,
337,"Pentru cine batcoloptele, vol. 2","Published January 1, 1971",Ernest Hemingway,,3.50,4 ratings,"380 pages, Paperback",30,,,
338,Paris est une fete. [A movable feast] Traduit de l'Anglais par Marc Saporta.,"Published January 1, 1964",Ernest Hemingway,,4.33,3 ratings,Paperback,2,,,
339,"Pentru cine bat clopotele, vol. 2","Published January 1, 1971",Ernest Hemingway,,4.33,3 ratings,"377 pages, Paperback",3,,,
340,Ernest Hemingway Collection 6 Books Set,"Published January 1, 2020",Ernest Hemingway,,4.33,3 ratings,Paperback,5,English,,
341,Cross Country Snow: A Short Story,"Published February 20, 2022",Ernest Hemingway,,2.60,5 ratings,Kindle Edition,6,,,
342,Búcsú a fegyverektől / Akiért a harang szól,"Published January 1, 1983",Ernest Hemingway,,3.25,4 ratings,"896 pages, Hardcover",7,Hungarian,,
343,مدال های جنگی در بازار بی خریدار,"First published December 8, 1923",Ernest Hemingway,,3.25,4 ratings,"5 pages, ebook",8,,,
344,Golden Leaves: A Textbook for College Students,"First published January 1, 2011",Ernest Hemingway,,4.33,3 ratings,"180 pages, Paperback",10,English,,
345,Hills Like White Elephants | Ernest Hemingway,"Published March 26, 2022",Ernest Hemingway,,4.33,3 ratings,"8 pages, Kindle Edition",11,,,
346,"Moveable Feats (09) by Hemingway, Ernest [Paperback (2010)]","Published January 1, 2010",Ernest Hemingway,,4.33,3 ratings,Paperback,12,,,
347,"Fathers and Sons, Short Stories","Published January 1, 1990",Ernest Hemingway,,3.25,4 ratings,Paperback,13,,,
348,The Best Short Stories,"Published January 1, 2008",Ernest Hemingway,,3.25,4 ratings,short story,14,,,
349,Album Hemingway (I Meridiani),"Published January 1, 1988",Ernest Hemingway,,4.33,3 ratings,"265 pages, Paperback",15,Italian,,
350,Trois coups de feu / Le Dernier beau coin du pays,"First published January 14, 2002",Ernest Hemingway,,2.60,5 ratings,"128 pages, Pocket Book",16,French,,
351,"Nehrin Ötesine, Ağaçların İçine","Published January 1, 2024",Ernest Hemingway,,4.00,3 ratings,"288 pages, Paperback",17,Turkish,,
352,Storie della guerra di Spagna,"Published January 1, 1972",Ernest Hemingway,,4.00,3 ratings,"240 pages, Hardcover",18,,,
353,"ERNEST HEMINGWAY, The First 49 Stories","Published January 1, 1977",Ernest Hemingway,,4.00,3 ratings,Leather Bound,19,,,
354,"Adiós a las armas, Las nieves del Kilimanjaro, El viejo y el mar","Published January 1, 2003",Ernest Hemingway,,4.00,3 ratings,"537 pages, Hardcover",20,,,
355,"Hemingway: Een mekka voor veinzers en andere verhalen, columns en essays","First published January 1, 2015",Ernest Hemingway,,3.00,4 ratings,"212 pages, Hardcover",23,Dutch; Flemish,,
356,QUOTABLE HEMINGWAY: An A to Z Glossary of Quotations from Ernest Hemingway,"First published January 25, 2015",Ernest Hemingway,,3.00,4 ratings,"107 pages, Kindle Edition",24,,,
357,Short Fiction,"Published January 1, 2023",Ernest Hemingway,,3.67,3 ratings,"234 pages, Paperback",29,English,,
358,流动的盛宴 (译文经典),"Published July 1, 2020",Ernest Hemingway,,3.67,3 ratings,Kindle Edition,30,,,
359,Ernest Hemingway: A Farewell to Arms & Other Writings 1927-1932 (LOA #384): Men Without Women / A Farewell to Arms / Death in the Afternoon / letters,"Published October 1, 2024",Ernest Hemingway,Fiction,4.80,5 ratings,"1037 pages, Hardcover",1,English,1 person is currently reading,10 people want to read
360,Avere e non avere.,"Published January 1, 1974",Ernest Hemingway,,2.80,5 ratings,Unknown Binding,2,,,
361,The Snows of Kilimanjaro [Cliff Notes]: The Snows of Kilimanjaro by Ernest Hemingway Includes both short and long cliff notes summaries,"Published May 28, 2023",Ernest Hemingway,,3.25,4 ratings,"36 pages, Kindle Edition",3,,,
362,Το φως του κόσμου και άλλα διηγήματα,"Published January 1, 1996",Ernest Hemingway,,3.25,4 ratings,"70 pages, Paperback",4,"Greek, Modern (1453-)",,
363,The Sun Also Rises and In Our Time: The Original Classic Editions by Ernest Hemingway - Unabridged and Annotated For Modern Readers and Book Clubs,"Published January 9, 2022",Ernest Hemingway,,4.33,3 ratings,"285 pages, Kindle Edition",5,,,
364,Short Fiction,"Published January 1, 2023",Ernest Hemingway,,3.67,3 ratings,"234 pages, Paperback",6,English,,
365,Las nieves del Kilimanjaro y otros relatos,"Published January 1, 1993",Ernest Hemingway,,3.67,3 ratings,Textbook Binding,7,,,
366,The Suppressed Poems of Ernest Hemingway,"Published October 5, 2018",Ernest Hemingway,,3.67,3 ratings,"32 pages, Paperback",9,English,,
367,Ernest Hemingway Collection: A 6 Volume Set,"Published January 1, 2023",Ernest Hemingway,,5.00,2 ratings,"1664 pages, Paperback",12,English,,
368,Fiesta,"Published January 1, 1962",Ernest Hemingway,,3.33,3 ratings,Paperback,13,,,
369,Budha Aadmi Aur Samudra (Hindi Translation of The Old Man And The Sea),"Published March 28, 2023",Ernest Hemingway,,3.33,3 ratings,"128 pages, Paperback",14,Hindi,,
370,Voyage to victory: An eye-witness report of the battle for a Normandy beachhead,"Published January 1, 1944",Ernest Hemingway,,5.00,2 ratings,Unknown Binding,15,,,
371,"The Ernest Hemingway (15 works). Novels, Stories, Poems: The Sun Also Rises, The Torrents of Spring and others","Published January 1, 2022",Ernest Hemingway,,3.33,3 ratings,"376 pages, Kindle Edition",16,English,,
372,"Рассказы. Прощай, оружие! Пятая колонна. Старик и море","Published January 1, 1972",Ernest Hemingway,,5.00,2 ratings,Hardcover,17,,,
373,"Zelené pahorky, mít a nemít, pátá kolona","Published January 1, 1968",Ernest Hemingway,,3.33,3 ratings,"414 pages, Hardcover",18,,,
374,Эрнест Хемингуэй. Сочинения,"Published January 1, 2000",Ernest Hemingway,,5.00,2 ratings,"1184 pages, Hardcover",19,,,
375,海明威短篇小说全集(下) (海明威文集),"Published August 1, 2011",Ernest Hemingway,,5.00,2 ratings,"490 pages, Kindle Edition",20,,,
376,Ernest Hemingway Collection - 8 Books,"First published January 1, 2013",Ernest Hemingway,,5.00,2 ratings,Paperback,21,English,,
377,"Kriminalgeschichten, Hochspannung","First published January 1, 2002",Ernest Hemingway,,5.00,2 ratings,2 Audio CDs,22,German,,
378,Festa,"Published September 2, 2020",Ernest Hemingway,,4.50,2 ratings,"224 pages, Kindle Edition",24,,,
379,A Canary for One: A short story,"Published November 30, 2022",Ernest Hemingway,,4.50,2 ratings,Kindle Edition,25,,,
380,Tempo de morrer,"First published January 1, 1969",Ernest Hemingway,,4.50,2 ratings,"254 pages, Paperback",27,,,
381,A Divine Gesture - 1st Edition,"Published January 1, 1974",Ernest Hemingway,,3.00,3 ratings,Paperback,28,,,
382,Tempo de viver,"First published January 1, 1969",Ernest Hemingway,,4.50,2 ratings,"299 pages, Paperback",29,,,
383,MEJORES CUENTOS DE HEMINGWAY (Colección Mejores Cuentos),"Published October 10, 2023",Ernest Hemingway,,4.50,2 ratings,"88 pages, Kindle Edition",30,Spanish; Castilian,,
384,Pokretni praznik,"Published January 1, 2016",Ernest Hemingway,,3.00,5 ratings,"231 pages, Brochure",1,Serbian,,
385,A Canary for One: A short story,"Published November 30, 2022",Ernest Hemingway,,4.50,2 ratings,Kindle Edition,3,,,
386,Festa,"Published September 2, 2020",Ernest Hemingway,,4.50,2 ratings,"224 pages, Kindle Edition",4,,,
387,Accross the River and Into the Trees,"Published January 1, 1950",Ernest Hemingway,,4.00,2 ratings,Hardcover,7,,,
388,Across the River and Into the Trees,"Published January 1, 1950",Ernest Hemingway,,4.00,2 ratings,Hardcover,8,,,
389,Mr. and Mrs. Elliot: A Short Story,"Published December 26, 2023",Ernest Hemingway,,4.00,2 ratings,"5 pages, Kindle Edition",9,,,
390,THE SHORT STORIES OF ERNEST HEMINGWAY: The Short Happy Life of Francis Macomber; The Snows of Kilimanjaro; Up in Michigan; The Killers,"Published January 1, 1938",Ernest Hemingway,Fiction,4.00,2 ratings,Hardcover,10,,2 people are currently reading,3 people want to read
391,Festa mobile,"Published July 15, 2021",Ernest Hemingway,,4.00,2 ratings,Kindle Edition,11,,,
392,디 에센셜: 어니스트 헤밍웨이,"Published April 30, 2021",Ernest Hemingway,,4.00,2 ratings,"414 pages, Hardcover",13,Korean,,
393,Novele,"Published January 1, 1965",Ernest Hemingway,,4.00,2 ratings,"382 pages, Hardcover",14,,,
394,Τα χιόνια του Κιλιμάντζαρο,"Published January 1, 2005",Ernest Hemingway,,2.67,3 ratings,Unknown Binding,19,,,
395,Muerte en la tarde,"Published April 15, 2020",Ernest Hemingway,,2.67,3 ratings,"266 pages, Kindle Edition",20,,,
396,"Старик и море. За рекой, в тени деревьев","Published January 1, 2016",Ernest Hemingway,,4.00,2 ratings,"350 pages, Hardcover",21,Russian,,
397,Memancing,"Published January 1, 2018",Ernest Hemingway,,2.67,3 ratings,"86 pages, Paperback",22,Indonesian,,
398,海明威短篇小说全集（上）,"First published August 1, 2011",Ernest Hemingway,,4.00,2 ratings,"346 pages, Kindle Edition",23,,,
399,พ่อและลูกชาย,"First published January 1, 1933",Ernest Hemingway,,4.00,2 ratings,"208 pages, Paperback",24,Thai,,
400,Hemingway'in Mektupları,"Published January 1, 1995",Ernest Hemingway,,4.00,2 ratings,"196 pages, Paperback",25,Turkish,,
401,Slnko aj vychádza,"Published January 1, 2015",Ernest Hemingway,,3.50,2 ratings,"301 pages, Unknown Binding",27,,,
402,Οι πράσινοι λόφοι της Αφρικής,"First published January 1, 1936",Ernest Hemingway,,3.50,2 ratings,"157 pages, Unknown Binding",28,,,
403,"Прощавай, зброє. Старий і море. Оповідання","Published January 1, 1974",Ernest Hemingway,,3.50,2 ratings,"576 pages, Hardcover",29,,,
404,ชายเฒ่าที่สะพาน,"Published March 1, 2010",Ernest Hemingway,,3.50,2 ratings,"200 pages, Paperback",30,Thai,,
405,老人与海：海明威中短篇小说选,"Published July 1, 2012",Ernest Hemingway,,3.50,2 ratings,"144 pages, Kindle Edition",6,,,
406,হেমিংওয়ের গল্প,"Published June 1, 2004",Ernest Hemingway,,3.50,2 ratings,"109 pages, Hardcover",7,,,
407,ชายเฒ่าที่สะพาน,"Published March 1, 2010",Ernest Hemingway,,3.50,2 ratings,"200 pages, Paperback",8,Thai,,
408,Οι πράσινοι λόφοι της Αφρικής,"First published January 1, 1936",Ernest Hemingway,,3.50,2 ratings,"157 pages, Unknown Binding",9,,,
409,Slnko aj vychádza,"Published January 1, 2015",Ernest Hemingway,,3.50,2 ratings,"301 pages, Unknown Binding",10,,,
410,"Прощавай, зброє. Старий і море. Оповідання","Published January 1, 1974",Ernest Hemingway,,3.50,2 ratings,"576 pages, Hardcover",11,,,
411,sta dyskola chronia / στα δύσκολα χρόνια,"Published January 1, 2003",Ernest Hemingway,,3.00,2 ratings,Paperback,14,,,
412,Eilanden in de golfstroom,"Published January 1, 1984",Ernest Hemingway,,3.00,2 ratings,Hardcover,15,Dutch; Flemish,,
413,Le vieil homme et la mer (INACTIF- FOLIO JUNIOR EDITION SPECIALE,"Published January 1, 1997",Ernest Hemingway,,3.00,2 ratings,"160 pages, Paperback",16,,,
414,Täyttä elämää,"Published January 1, 1968",Ernest Hemingway,,3.00,2 ratings,256 pages,17,,,
415,Африкански мемоар,"First published January 1, 2000",Ernest Hemingway,,3.00,2 ratings,"351 pages, Paperback",23,Bulgarian,,
416,The Best American Short Stories,"Published May 7, 2021",Ernest Hemingway,,5.00,1 rating,"1289 pages, Kindle Edition",25,,,
417,"A Farewell to Arm,","Published January 1, 1957",Ernest Hemingway,,5.00,1 rating,"314 pages, Hardcover",26,,,
418,Per chi suona la campana. Volume 1 e 2,"Published January 1, 1953",Ernest Hemingway,,5.00,1 rating,Paperback,27,,,
419,Ernest Hemingway: The Sun Also Rises & Other Writings 1918-1926: in our time (1924) / The Torrents of Spring,"Published May 31, 2023",Ernest Hemingway,,5.00,1 rating,"470 pages, Paperback",28,English,,
420,The Old Man and the Sea Novel,"Published June 25, 2023",Ernest Hemingway,,5.00,1 rating,"94 pages, Kindle Edition",29,,,
421,Полное собрание рассказов,"Published January 1, 2019",Ernest Hemingway,,3.00,1 rating,"896 pages, Hardcover",30,Russian,,
422,Fiesta: Eguzkia jaikitzen da,"Published June 15, 2021",Ernest Hemingway,,4.00,2 ratings,"230 pages, Kindle Edition",1,Basque,,
423,قصص همنغواي: مختارات,"First published January 1, 1968",Ernest Hemingway,,5.00,1 rating,"388 pages, Paperback",2,,,
424,ಹೆಮಿಂಗ್ವೆ : ಇಂಡಿಯನ್ ಕ್ಯಾಂಪ್ ಮತ್ತು ಇತರ ಕಥೆಗಳು | Hemingway : India Camp And Other Stories,"Published January 1, 2022",Ernest Hemingway,,5.00,1 rating,"118 pages, Paperback",3,,,
425,"The Sun Also Rises ""Fiesta"" (Portuguese Edition) : O Sol Nasce Também ""Festa""","Published May 2, 2024",Ernest Hemingway,,5.00,1 rating,"305 pages, Kindle Edition",4,,,
426,PARIS ERA UNA FIESTA,"Published January 1, 1981",Ernest Hemingway,,5.00,1 rating,Hardcover,5,,,
427,To Have And Have Not: By Ernest Hemingway,"Published March 4, 2024",Ernest Hemingway,,5.00,1 rating,"191 pages, Kindle Edition",6,,,
428,To Have And Have Not,"Published January 1, 2022",Ernest Hemingway,,5.00,1 rating,"300 pages, Hardcover",7,,,
429,Men Without Women: The Annotated Bright State Press Edition,"Published January 2, 2024",Ernest Hemingway,,5.00,1 rating,"178 pages, Kindle Edition",8,,,
430,Rediscover Hemingway: The Sun Also Rises - A Tale of the Lost Generation,"Published September 12, 2023",Ernest Hemingway,,5.00,1 rating,"254 pages, Kindle Edition",9,English,,
431,The Old Man and the Sea Novel,"Published June 25, 2023",Ernest Hemingway,,5.00,1 rating,"94 pages, Kindle Edition",10,,,
432,Ernest Hemingway: The Sun Also Rises & Other Writings 1918-1926: in our time (1924) / The Torrents of Spring,"Published May 31, 2023",Ernest Hemingway,,5.00,1 rating,"470 pages, Paperback",11,English,,
433,''Paris Ein Fest fürs Leben'' | Ernest Hemingway,"Published March 12, 2022",Ernest Hemingway,,2.50,2 ratings,"250 pages, Kindle Edition",12,,,
434,Ernest Hemingway: [interview,"Published January 1, 1958",Ernest Hemingway,,5.00,1 rating,Unknown Binding,13,,,
435,Treasury For The Free World,"Published January 1, 1946",Ernest Hemingway,,5.00,1 rating,Hardcover,14,,,
436,"A Farewell to Arm,","Published January 1, 1957",Ernest Hemingway,,5.00,1 rating,"314 pages, Hardcover",15,,,
437,KOME ZVONO ZVONI,"Published January 1, 1952",Ernest Hemingway,,5.00,1 rating,Hardcover,16,,,
438,Price o Niku,"Published January 1, 1978",Ernest Hemingway,,2.50,2 ratings,Paperback,18,,,
439,Et Oritur Sol,"Published October 2, 2022",Ernest Hemingway,,5.00,1 rating,"199 pages, Paperback",19,Latin,,
440,世界少年文學必讀經典60：老人與海,"Published October 1, 2020",Ernest Hemingway,,5.00,1 rating,"124 pages, Kindle Edition",21,,,
441,Ông già & biển cả,"Published January 1, 2019",Ernest Hemingway,,5.00,1 rating,Unknown Binding,22,,,
442,The Best American Short Stories,"Published May 7, 2021",Ernest Hemingway,,5.00,1 rating,"1289 pages, Kindle Edition",23,,,
443,Raiskii sad,"Published January 1, 2019",Ernest Hemingway,,5.00,1 rating,"320 pages, Paperback",26,Russian,,
444,Om jagt og fiskeri,"Published January 1, 2013",Ernest Hemingway,,5.00,1 rating,559 pages,28,Danish,,
445,A Hemingway Selection,"First published January 1, 1972",Ernest Hemingway,,2.50,2 ratings,"211 pages, Paperback",29,English,,
446,Jutud II,"Published January 1, 2008",Ernest Hemingway,,5.00,1 rating,"355 pages, Hardcover",30,Estonian,,
447,Old Man and the Sea TheOldManandTheSea (full English original),"Published August 1, 2017",Ernest Hemingway,,4.00,2 ratings,Paperback,1,,,
448,ಹೆಮಿಂಗ್ವೆ : ಇಂಡಿಯನ್ ಕ್ಯಾಂಪ್ ಮತ್ತು ಇತರ ಕಥೆಗಳು | Hemingway : India Camp And Other Stories,"Published January 1, 2022",Ernest Hemingway,,5.00,1 rating,"118 pages, Paperback",2,,,
449,PARIS ERA UNA FIESTA,"Published January 1, 1981",Ernest Hemingway,,5.00,1 rating,Hardcover,3,,,
450,To Have And Have Not: By Ernest Hemingway,"Published March 4, 2024",Ernest Hemingway,,5.00,1 rating,"191 pages, Kindle Edition",4,,,
451,Two Stories: Fifty Grand; The Undefeated.,"Published January 1, 1967",Ernest Hemingway,,4.00,1 rating,Paperback,6,,,
452,Men Without Women: Hemingway Short Story Collection,"Published October 25, 2023",Ernest Hemingway,,4.00,1 rating,"134 pages, Paperback",7,English,,
453,EN NUESTRO TIEMPO: Ernest Hemingway,"Published October 13, 2023",Ernest Hemingway,,4.00,1 rating,"127 pages, Kindle Edition",8,Spanish; Castilian,,
454,Fiesta; Il sole sorgera ancora 38,"Published January 1, 1966",Ernest Hemingway,,4.00,1 rating,Paperback,9,,,
455,"The Old Man and The Sea (With English Version, Hardcover)","Published October 1, 2022",Ernest Hemingway,,4.00,1 rating,"244 pages, Hardcover",10,Chinese,,
456,2003 FLORIDA KEYWEST HISTORY OF THE ISLAND OF DREAMS ERNEST HEMINGWAY HANGOUT [Hardcover] Ernest Hemingway,"Published January 1, 2003",Ernest Hemingway,,4.00,1 rating,"333 pages, Hardcover",11,,,
457,"Men at War The Best War Stories of All Times ( Includes 82 Great War Stories of All Time by Ernest Heminway, Tolstoy, Winston Churchill, ETC ) New Complete Edition RARE","Published January 1, 1942",Ernest Hemingway,,4.00,1 rating,"1072 pages, Hardcover",12,,,
458,Pour qui sonne le glas ?,"Published January 1, 1966",Ernest Hemingway,,4.00,1 rating,Mass Market Paperback,13,,,
459,"The Gambler, the Nun, and the Radio: Korean Translation","Published May 1, 2019",Ernest Hemingway,,4.00,1 rating,"28 pages, Kindle Edition",15,,,
460,The Best Short Stories of Hemingway,"Published June 1, 2019",Ernest Hemingway,,4.00,1 rating,"228 pages, Paperback",16,English,,
461,The Major Novels of Ernest Hemingway,"First published January 1, 1985",Ernest Hemingway,,4.00,1 rating,"68 pages, Paperback",17,English,,
462,Afscheid van de wapenen,"Published August 28, 2014",Ernest Hemingway,,4.00,1 rating,"327 pages, Kindle Edition",18,Dutch; Flemish,,
463,Fiesta. Avere e non avere. Verdi colline d’Africa,"Published December 1, 1962",Ernest Hemingway,,4.00,1 rating,"568 pages, Hardcover",22,,,
464,Muerte en tres actos,"Published April 1, 2011",Ernest Hemingway,,4.00,1 rating,"824 pages, Mass Market Paperback",25,Spanish; Castilian,,
465,La corrente - Incroci. Un'antologia,"Published April 1, 2010",Ernest Hemingway,,4.00,1 rating,"35 pages, Paperback",26,Italian,,
466,Três Histórias da Guerra,"First published February 1, 1972",Ernest Hemingway,,4.00,1 rating,"100 pages, Paperback",27,,,
467,Gesammelte Erzählungen,"Published January 1, 1970",Ernest Hemingway,,4.00,1 rating,"479 pages, Hardcover",28,German,,
468,Избранные сочинения в 3 томах,"First published January 1, 2002",Ernest Hemingway,,4.00,1 rating,"1568 pages, Hardcover",29,Russian,,
469,"Los premios Nobel de literatura. Las nieves del Kilimanjaro, Victoria, Sangre de Welsas","First published January 1, 1966",Ernest Hemingway,,4.00,1 rating,"447 pages, Paperback",30,,,
470,THE COMPLETE WORKS OF ERNEST HEMINGWAY (Classic Book): With Illustration,"Published July 30, 2022",Ernest Hemingway,,4.00,1 rating,Kindle Edition,1,,,
471,THE NICK ADAMS STORIES,"Published January 1, 1972",Ernest Hemingway,,4.00,1 rating,Hardcover,2,,,
472,Short Stories by Ernest Hemingway Selected and with an Introduction by David Hughes,"Published January 1, 1986",Ernest Hemingway,,4.00,1 rating,Hardcover,3,,,
473,EN NUESTRO TIEMPO: Ernest Hemingway,"Published October 13, 2023",Ernest Hemingway,,4.00,1 rating,"127 pages, Kindle Edition",4,Spanish; Castilian,,
474,Fiesta; Il sole sorgera ancora 38,"Published January 1, 1966",Ernest Hemingway,,4.00,1 rating,Paperback,5,,,
475,Ernest Hemingway: The Sun Also Rises & Other Writings 1918-1926: in our time (1924) / In Our Time (1925) / The Torrents of Spring,"Published May 30, 2023",Ernest Hemingway,,4.00,1 rating,"681 pages, Kindle Edition",6,,,
476,A SUNCE IZLAZI,"Published January 1, 1978",Ernest Hemingway,,4.00,1 rating,Hardcover,7,,,
477,Zielone wzgórza Afryki,"Published January 1, 1964",Ernest Hemingway,,4.00,1 rating,Paperback,8,,,
478,Big Two-hearted River: The Centennial Edition - Library Edition,"Published May 9, 2023",Ernest Hemingway,,4.00,1 rating,Audio CD,9,English,,
479,2003 FLORIDA KEYWEST HISTORY OF THE ISLAND OF DREAMS ERNEST HEMINGWAY HANGOUT [Hardcover] Ernest Hemingway,"Published January 1, 2003",Ernest Hemingway,,4.00,1 rating,"333 pages, Hardcover",10,,,
480,Hemingway's Significance of Silence: An Annotated Collection of Hemingway Short Stories and Poems,"Published April 15, 2023",Ernest Hemingway,,4.00,1 rating,"304 pages, Kindle Edition",11,,,
481,The Best Short Stories of Hemingway,"Published June 1, 2019",Ernest Hemingway,,4.00,1 rating,"228 pages, Paperback",12,English,,
482,Afscheid van de wapenen,"Published August 28, 2014",Ernest Hemingway,,4.00,1 rating,"327 pages, Kindle Edition",13,Dutch; Flemish,,
483,"Ernest Hemingway Best Collection: Across The River And Into The Trees, A Farewell to Arms and To Have and Have Not","Published February 11, 2022",Ernest Hemingway,,4.00,1 rating,"881 pages, Kindle Edition",14,,,
484,Belajar Menulis Mulai dari Hal yang Paling Sederhana,"Published January 1, 2022",Ernest Hemingway,,4.00,1 rating,"126 pages, Paperback",15,Indonesian,,
485,The Damned,"Published January 1, 1956",Ernest Hemingway,,4.00,1 rating,"191 pages, Paperback",17,,,
486,Fifty Grand: Short Story,"Published March 29, 2022",Ernest Hemingway,,4.00,1 rating,Kindle Edition,19,,,
487,Narrativa completa 2: Cuarenta y nueve cuentos/ Otros cuentos/ Por quien doblan las campanas,"Published August 1, 1985",Ernest Hemingway,,4.00,1 rating,Hardcover,20,,,
488,Ông già và Biển cả,"Published January 1, 2005",Ernest Hemingway,,4.00,1 rating,"152 pages, Paperback",21,,,
489,Der Sieger geht leer aus: German Edition,"Published October 28, 2021",Ernest Hemingway,,4.00,1 rating,"222 pages, Kindle Edition",22,,,
490,Pět stováků,"Published January 1, 1933",Ernest Hemingway,,4.00,1 rating,"30 pages, Paperback",23,,,
491,Ernest Hemingway. Relatos,"Published January 1, 1970",Ernest Hemingway,,4.00,2 ratings,Hardcover,1,,,
492,Paris ein Fest furs Leben,"Published November 23, 2015",Ernest Hemingway,,2.50,2 ratings,Paperback,2,,,
493,The Sun Also Rises by Ernest Hemingway (Annotated): Original Edition Hardcover Book with Historical Context and Summary,"Published January 1, 1926",Ernest Hemingway,,3.00,1 rating,"240 pages, Hardcover",4,English,,
494,U NASE VREME - DOZIVLJAJI NIKA ADAMSA I DRUGE PRICE,"Published January 1, 1965",Ernest Hemingway,,3.00,1 rating,Paperback,5,,,
495,The First Forty-Nine Stories,"Published January 1, 1978",Ernest Hemingway,,3.00,1 rating,"476 pages, Hardcover",6,,,
496,Hemingway on Fishing by Ernest Hemingway,"Published January 1, 1828",Ernest Hemingway,,3.00,1 rating,Hardcover,7,,,
497,La Guerra De Espana,"Published January 1, 1975",Ernest Hemingway,,3.00,1 rating,"172 pages, Paperback",8,,,
498,Lettere,"Published March 7, 2023",Ernest Hemingway,,3.00,1 rating,"401 pages, Kindle Edition",9,Italian,,
499,Ernest Hemingway ve Savas Siirleri,"Published January 1, 2014",Ernest Hemingway,,3.00,1 rating,"72 pages, Paperback",10,Turkish,,
500,Sturmfluten des Frühlings.,"Published January 1, 1957",Ernest Hemingway,,3.00,1 rating,Hardcover,11,German,,
501,"The Ernest Hemingway Collection (15+): The Sun Also Rises, The Torrents of Spring, The Old Man and the Sea, The Snows of Kilimanjaro and others","Published December 22, 2021",Ernest Hemingway,,3.00,1 rating,"479 pages, Kindle Edition",12,English,,
502,Ξένα αριστουργήματα,"Published January 1, 1960",Ernest Hemingway,,3.00,1 rating,"256 pages, Leather Bound",13,,,
503,بعد العاصفة وقصص أخرى,"Published January 1, 2021",Ernest Hemingway,,3.00,1 rating,"132 pages, Paperback",14,English,,
504,De ole Mann un de See,"First published January 1, 1952",Ernest Hemingway,,3.00,1 rating,"132 pages, Paperback",15,"Low German; Low Saxon; German, Low;",,
505,Spring waters: An entertaining story through an ernest Hemingway satire,"Published March 16, 2021",Ernest Hemingway,,3.00,1 rating,"60 pages, Paperback",18,,,
506,Tuyết Trên Ngọn Kilimanjaro,"Published September 1, 1997",Ernest Hemingway,,3.00,1 rating,"140 pages, Paperback",27,,,
507,Từ Ánh Sáng Đầu Tiên,"Published January 1, 2002",Ernest Hemingway,,3.00,1 rating,"407 pages, Paperback",28,,,
508,49 Stories - Bd. 1: Die Ersten und die Letzten. In unserer Zeit,"Published January 1, 1977",Ernest Hemingway,,3.00,1 rating,"219 pages, Paperback",29,,,
509,49 stories,"Published January 1, 1966",Ernest Hemingway,,3.00,1 rating,"413 pages, Hardcover",30,,,
510,Ernest Hemingway. Relatos,"Published January 1, 1970",Ernest Hemingway,,4.00,2 ratings,Hardcover,1,,,
511,Las verdes colinas de Africa,"Published January 1, 1970",Ernest Hemingway,,3.50,2 ratings,Paperback,2,,,
512,Paris ein Fest furs Leben,"Published November 23, 2015",Ernest Hemingway,,2.50,2 ratings,Paperback,3,,,
513,U NASE VREME - DOZIVLJAJI NIKA ADAMSA I DRUGE PRICE,"Published January 1, 1965",Ernest Hemingway,,3.00,1 rating,Paperback,4,,,
514,The First Forty-Nine Stories,"Published January 1, 1978",Ernest Hemingway,,3.00,1 rating,"476 pages, Hardcover",5,,,
515,Hemingway on Fishing by Ernest Hemingway,"Published January 1, 1828",Ernest Hemingway,,3.00,1 rating,Hardcover,6,,,
516,Fiesta: Amores en tiempo de guerra,"Published March 15, 2021",Ernest Hemingway,,3.00,1 rating,"146 pages, Paperback",7,Spanish; Castilian,,
517,Library of World Literature Hemingway's Short Stories,"Published November 1, 2015",Ernest Hemingway,,1.50,2 ratings,"390 pages, Hardcover",8,Chinese,,
518,"The Ernest Hemingway Collection (15+): The Sun Also Rises, The Torrents of Spring, The Old Man and the Sea, The Snows of Kilimanjaro and others","Published December 22, 2021",Ernest Hemingway,,3.00,1 rating,"479 pages, Kindle Edition",9,English,,
519,过河入林 (海明威文集),"Published August 1, 2019",Ernest Hemingway,,2.00,1 rating,"256 pages, Kindle Edition",11,,,
520,Remembering Shooting - Flying: A Key West Letter in The American Rifleman Magazine,"Published January 1, 1942",Ernest Hemingway,,2.00,1 rating,Paperback,12,,,
